event_id,ts,category,rule,src,src_mac,dst,dst_mac,flows,spkts,dpkts,sbytes,dbytes,uniq_dports,proto,top_dport,atk,mal,shadow_atk,shadow_mal,atk_thr,mal_thr,decision
2026-03-15 13:36:51|ATTACK|TCP_FLOOD|192.168.88.200|192.168.89.10|19e86f41698c,2026-03-15 13:36:51,ATTACK,TCP_FLOOD,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,37143,37143,37560,1485740,1652652,3,6,49214,,,,,,,SUPPRESSED_VICTIM_LEG
2026-03-15 13:36:51|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|bfb7585c556f,2026-03-15 13:36:51,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,37557,37560,37143,1652652,1485740,31718,6,63287,0.998921,,0.500000,0.500000,0.600,,BLOCKED
2026-03-15 13:58:40|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|3e0a49722c26,2026-03-15 13:58:40,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,15171,15178,12639,667940,505572,15164,6,0,0.994077,,0.500000,0.500000,0.600,,BLOCKED
2026-03-15 14:59:36|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|2632dab59298,2026-03-15 14:59:36,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,27017,54025,26885,2161288,1183060,1,6,445,0.999996,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 15:00:37|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|ebb59a9c9809,2026-03-15 15:00:37,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,25340,25346,21361,1115180,854448,25338,6,443,0.998420,,0.500000,0.500000,0.600,,BLOCKED
2026-03-15 19:23:27|ATTACK|ICMP_FLOOD|192.168.89.10|192.168.88.200|b91bd8b3c4f0,2026-03-15 19:23:27,ATTACK,ICMP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,5,85300,85271,2388652,2387812,1,1,0,0.874220,,0.500000,0.500000,0.550,,BLOCKED
2026-03-15 19:24:28|ATTACK|UDP_FLOOD|192.168.89.10|192.168.88.200|abf96951cdbd,2026-03-15 19:24:28,ATTACK,UDP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,10340,10340,0,289520,0,1,17,123,0.999885,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 19:25:59|ATTACK|UDP_FLOOD|192.168.89.10|192.168.88.200|77e0fa703b70,2026-03-15 19:25:59,ATTACK,UDP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,5765,5765,0,161420,0,1,17,123,0.999898,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 19:26:29|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|bd8c4d779d9f,2026-03-15 19:26:29,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,2045,14042,18956,913284,15619094,1,6,80,0.999994,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 19:39:40|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|ae48d4ccbcae,2026-03-15 19:39:40,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,12931,98288,120671,6366792,99387989,1,6,80,0.999992,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 19:43:44|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|8a8fa93555fa,2026-03-15 19:43:44,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,1604,2392,485,138124,41450,1,6,80,0.999995,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 19:44:15|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|368f4949b41a,2026-03-15 19:44:15,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,1020,1366,247,79272,20953,1,6,80,0.999997,,0.500000,0.500000,0.720,,BLOCKED
2026-03-15 21:49:46|OBSERVED|OBS_PING|192.168.88.200|192.168.89.10|a2177cdb2e31,2026-03-15 21:49:46,OBSERVED,OBS_PING,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,1,2,2,176,120,1,1,0,,,0.476236,0.523764,,,OBSERVED
2026-03-15 21:49:46|OBSERVED|OBS_PING|192.168.89.10|192.168.88.200|47de1cbf3091,2026-03-15 21:49:46,OBSERVED,OBS_PING,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1,2,2,120,176,1,1,0,,,,,,,SUPPRESSED_VICTIM_LEG
2026-03-15 21:49:46|OBSERVED|OBS_PING|192.168.89.10|192.168.88.200|8528ca275ca8,2026-03-15 21:49:46,OBSERVED,OBS_PING,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1,3,4,264,240,1,1,0,,,,,,,SUPPRESSED_VICTIM_LEG
2026-03-15 21:49:46|OBSERVED|OBS_PING|192.168.88.200|192.168.89.10|e3d7f50777e3,2026-03-15 21:49:46,OBSERVED,OBS_PING,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,1,4,3,240,264,1,1,0,,,0.485232,0.514768,,,OBSERVED
2026-03-15 22:02:38|OBSERVED|OBS_PING|192.168.88.200|192.168.89.10|0dc59ea69e31,2026-03-15 22:02:38,OBSERVED,OBS_PING,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,2,5,4,328,324,1,1,0,,,0.481882,0.518118,,,OBSERVED
